Time,Time Code,Country Name,Country Code,Electronic payments used to make payments (% age 15+) [GFDD.AI.22],Bank concentration (%) [GFDD.OI.01],Bank net interest margin (%) [GFDD.EI.01]
2001,YR2001,Indonesia,IDN,..,62.6501,3.896086
2001,YR2001,Italy,ITA,..,66.75957,2.189937
2001,YR2001,"Korea, Rep.",KOR,..,..,..
2001,YR2001,Least developed countries: UN classification,LDC,..,..,..
2001,YR2001,Mexico,MEX,..,66.38476,7.218919
2001,YR2001,Middle East & North Africa (IDA total),DMN,..,..,..
2001,YR2001,Nigeria,NGA,..,23.52058,10.34291
2001,YR2001,Nepal,NPL,..,59.45649,3.892894
2001,YR2001,Netherlands,NLD,..,87.06261,1.217133
2001,YR2001,Pakistan,PAK,..,73.61308,3.243576
2001,YR2001,Philippines,PHL,..,..,..
2001,YR2001,Saudi Arabia,SAU,..,59.98779,3.593688
2001,YR2001,Russian Federation,RUS,..,43.0685,4.886079
2001,YR2001,South Africa,ZAF,..,81.15051,4.198052
2001,YR2001,Spain,ESP,..,73.32962,2.712465
2001,YR2001,South Asia (IDA total),DSA,..,..,..
2001,YR2001,Switzerland,CHE,..,88.8428,1.189193
2001,YR2001,United States,USA,..,23.12253,3.830588
2001,YR2001,United Kingdom,GBR,..,35.85346,0.9536953
2001,YR2001,Vietnam,VNM,..,84.04386,3.693701
2002,YR2002,Argentina,ARG,..,40.1637,3.028021
